radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
198.749592,0.369,-2.587069,0.331,13.656,0.036,5,14.438,0.037,5,NA,NA,0,13.972,0.016,4,13.419,0.007,4,13.18,0.063,4,13.014,0.163,5,NA,NA,0
198.749632,0.505,-2.830895,0.567,14.456,0.023,5,15.132,0.034,5,NA,NA,0,14.744,0.032,4,14.292,0.043,4,14.224,0.062,4,NA,NA,0,NA,NA,0
198.750703,0.26,-3.235307,0.132,9.731,0.022,4,11.217,0.029,2,NA,NA,0,10.397,0.065,5,9.172,0.035,4,8.576,0.058,4,8.248,0.047,4,NA,NA,0
198.754232,0.273,-2.773412,0.22,16.09,0.055,3,17.582,0.206,3,NA,NA,0,16.86,0.068,4,15.487,0.119,4,14.953,0.113,4,NA,NA,0,NA,NA,0
198.754392,0.431,-2.839003,0.594,16.277,0.06,4,17.044,0.143,4,NA,NA,0,16.66,0.089,4,16.102,0.083,4,15.842,0.085,3,NA,NA,0,NA,NA,0
198.755631,0.317,-3.368657,0.23,15.592,0.031,4,16.299,0.047,4,NA,NA,0,15.857,0.033,4,15.428,0.049,4,15.277,0.085,4,NA,NA,0,NA,NA,0
198.755888,0.361,-3.097028,0.211,15.382,0.027,4,16.054,0.069,4,NA,NA,0,15.633,0.038,4,15.174,0.12,4,15.03,0.108,4,NA,NA,0,NA,NA,0
198.756459,0.74,-3.026568,0.341,17.245,0.182,1,18.016,0.261,1,NA,NA,0,17.607,0.128,3,17.224,0.119,3,16.483,0.253,1,NA,NA,0,NA,NA,0
198.757021,0.692,-3.579221,0.45,16.395,0.062,3,17.187,0.131,3,NA,NA,0,16.946,0.052,4,16.464,0.104,4,15.914,0.092,2,NA,NA,0,NA,NA,0
198.759913,0.995,-2.569791,0.327,NA,NA,0,NA,NA,0,NA,NA,0,17.711,0.16,4,16.573,0.127,4,15.698,0.146,3,NA,NA,0,NA,NA,0
198.761256,0.479,-2.534161,0.403,14.148,0.034,4,15.011,0.023,4,NA,NA,0,14.513,0.016,4,13.873,0.007,4,13.569,0.058,4,13.503,0.263,3,NA,NA,0
198.761266,0.252,-2.698497,0.209,12.974,0.007,2,13.586,0.021,2,NA,NA,0,13.22,0.014,2,12.833,0.003,2,12.751,0.009,2,12.603,0.099,5,NA,NA,0
198.762485,0.372,-3.531915,0.556,14.169,0.02,4,15.352,0.029,4,NA,NA,0,14.753,0.022,4,13.678,0.047,4,13.366,0.034,4,13.174,0.155,4,NA,NA,0
198.764859,0.292,-3.096148,0.25,15.585,0.026,4,16.636,0.113,4,NA,NA,0,16.177,0.046,4,15.096,0.046,4,14.794,0.099,4,NA,NA,0,NA,NA,0
198.765433,0.575,-3.174784,0.511,NA,NA,0,NA,NA,0,NA,NA,0,18.585,0.261,1,NA,NA,0,16.528,0.276,1,NA,NA,0,NA,NA,0
198.765579,0.586,-2.547424,0.36,16.599,0.055,4,17.283,0.113,4,NA,NA,0,16.888,0.056,4,16.225,0.104,4,15.833,0.182,1,NA,NA,0,NA,NA,0
198.766047,0.216,-3.411641,0.273,NA,NA,0,NA,NA,0,NA,NA,0,17.761,0.044,2,16.46,0.016,2,15.867,0.15,1,NA,NA,0,NA,NA,0
198.766207,0.454,-2.879026,0.285,15.852,0.061,4,16.462,0.065,4,NA,NA,0,16.182,0.06,4,15.67,0.099,4,15.472,0.022,3,NA,NA,0,NA,NA,0
198.767037,0.356,-3.350231,0.76,17.467,0.213,1,18.256,0.294,1,NA,NA,0,18.098,0.171,1,17.757,0.283,1,NA,NA,0,NA,NA,0,NA,NA,0
198.767236,0.446,-2.740315,0.372,15.467,0.073,4,16.067,0.11,4,NA,NA,0,15.696,0.032,4,15.262,0.014,4,15.193,0.092,4,NA,NA,0,NA,NA,0
